Wavelength (nm),Frequency (THz),Intensity
920.27,325.7657622,81
920.31,325.7516033,162
920.36,325.7339063,159
920.41,325.7162113,72
920.46,325.6985181,75
920.51,325.6808269,111
920.56,325.6631377,119
920.61,325.6454503,64
920.66,325.6277649,100
920.71,325.6100814,164
920.76,325.5923998,122
920.81,325.5747201,142
920.86,325.5570423,105
920.91,325.5393665,122
920.96,325.5216926,99
921.01,325.5040206,140
921.06,325.4863505,115
921.11,325.4686824,120
921.16,325.4510161,97
921.21,325.4333518,98
921.26,325.4156894,121
921.31,325.3980289,107
921.36,325.3803703,144
921.41,325.3627137,131
921.46,325.3450589,78
921.51,325.3274061,126
921.56,325.3097552,134
921.61,325.2921062,130
921.66,325.2744591,125
921.71,325.256814,94
921.76,325.2391707,121
921.81,325.2215294,128
921.86,325.20389,101
921.91,325.1862525,117
921.96,325.1686169,125
922.01,325.1509832,110
922.06,325.1333514,106
922.11,325.1157216,142
922.16,325.0980936,87
922.21,325.0804676,108
922.26,325.0628434,106
922.31,325.0452212,93
922.36,325.0276009,119
922.41,325.0099825,119
922.46,324.9923661,122
922.5,324.9782743,111
922.55,324.9606612,96
922.6,324.9430501,141
922.65,324.9254408,89
922.7,324.9078335,107
922.75,324.8902281,119
922.8,324.8726246,79
922.85,324.855023,105
922.9,324.8374233,124
922.95,324.8198256,88
923,324.8022297,116
923.05,324.7846357,113
923.1,324.7670437,141
923.15,324.7494535,100
923.2,324.7318653,89
923.25,324.7142789,118
923.3,324.6966945,97
923.35,324.6791119,85
923.4,324.6615313,93
923.45,324.6439526,133
923.5,324.6263757,133
923.55,324.6088008,112
923.6,324.5912278,120
923.65,324.5736567,132
923.7,324.5560875,92
923.75,324.5385202,126
923.8,324.5209548,66
923.85,324.5033912,127
923.89,324.4893418,77
923.94,324.4717817,118
923.99,324.4542235,131
924.04,324.4366672,110
924.09,324.4191129,109
924.14,324.4015604,108
924.19,324.3840098,73
924.24,324.3664611,124
924.29,324.3489143,93
924.34,324.3313694,130
924.39,324.3138264,121
924.44,324.2962853,71
924.49,324.2787461,83
924.54,324.2612088,106
924.59,324.2436734,125
924.64,324.2261399,74
924.69,324.2086083,70
924.74,324.1910786,106
924.79,324.1735508,121
924.84,324.1560248,103
924.89,324.1385008,120
924.94,324.1209787,92
924.98,324.1069623,118
925.03,324.0894436,101
925.08,324.0719268,138
925.13,324.0544118,83
925.18,324.0368988,119
925.23,324.0193876,123
925.28,324.0018784,86
925.33,323.984371,92
925.38,323.9668655,136
925.43,323.9493619,97
925.48,323.9318602,109
925.53,323.9143604,116
925.58,323.8968625,116
925.63,323.8793665,93
925.68,323.8618724,147
925.73,323.8443801,125
925.78,323.8268898,111
925.83,323.8094013,85
925.87,323.7954119,81
925.92,323.7779268,95
925.97,323.7604436,103
926.02,323.7429624,108
926.07,323.725483,148
926.12,323.7080054,124
926.17,323.6905298,69
926.22,323.6730561,104
926.27,323.6555842,125
926.32,323.6381143,111
926.37,323.6206462,74
926.42,323.60318,92
926.47,323.5857157,119
926.52,323.5682532,73
926.57,323.5507927,141
926.62,323.5333341,135
926.67,323.5158773,114
926.71,323.5019132,91
926.76,323.4844598,102
926.81,323.4670083,119
926.86,323.4495587,125
926.91,323.432111,96
926.96,323.4146651,100
927.01,323.3972212,74
927.06,323.3797791,106
927.11,323.3623389,117
927.16,323.3449006,135
927.21,323.3274641,98
927.26,323.3100295,87
927.31,323.2925969,120
927.36,323.2751661,93
927.41,323.2577371,117
927.45,323.2437954,105
927.5,323.2263698,111
927.55,323.2089461,108
927.6,323.1915244,98
927.65,323.1741045,101
927.7,323.1566864,116
927.75,323.1392703,108
927.8,323.121856,111
927.85,323.1044436,119
927.9,323.0870331,121
927.95,323.0696244,100
928,323.0522177,102
928.05,323.0348128,145
928.09,323.0208902,99
928.14,323.0034887,125
928.19,322.9860891,116
928.24,322.9686913,99
928.29,322.9512954,95
928.34,322.9339014,132
928.39,322.9165092,89
928.44,322.899119,131
928.49,322.8817306,117
928.54,322.864344,110
928.59,322.8469594,111
928.64,322.8295766,137
928.69,322.8121957,114
928.73,322.7982923,121
928.78,322.7809147,87
928.83,322.7635391,104
928.88,322.7461653,60
928.93,322.7287933,94
928.98,322.7114233,115
929.03,322.6940551,117
929.08,322.6766888,105
929.13,322.6593243,84
929.18,322.6419617,126
929.23,322.624601,120
929.28,322.6072422,113
929.32,322.5933564,96
929.37,322.5760009,94
929.42,322.5586473,97
929.47,322.5412956,122
929.52,322.5239457,121
929.57,322.5065977,88
929.62,322.4892515,130
929.67,322.4719072,120
929.72,322.4545648,96
929.77,322.4372243,128
929.82,322.4198856,92
929.87,322.4025487,126
929.91,322.3886806,114
929.96,322.3713472,92
930.01,322.3540155,128
930.06,322.3366858,64
930.11,322.3193579,161
930.16,322.3020319,90
930.21,322.2847078,136
930.26,322.2673855,96
930.31,322.250065,114
930.36,322.2327465,99
930.41,322.2154298,108
930.45,322.2015777,102
930.5,322.1842644,106
930.55,322.1669529,132
930.6,322.1496432,112
930.65,322.1323355,122
930.7,322.1150295,127
930.75,322.0977255,105
930.8,322.0804233,91
930.85,322.063123,94
930.9,322.0458245,131
930.94,322.031987,122
930.99,322.0146919,88
931.04,321.9973986,111
931.09,321.9801072,113
931.14,321.9628176,123
931.19,321.9455299,115
931.24,321.9282441,105
931.29,321.9109601,106
931.34,321.8936779,89
931.39,321.8763976,138
931.43,321.8625748,133
931.48,321.8452978,111
931.53,321.8280227,79
931.58,321.8107495,129
931.63,321.7934781,120
931.68,321.7762086,98
931.73,321.7589409,127
931.78,321.7416751,114
931.83,321.7244111,61
931.88,321.707149,115
931.92,321.6933406,145
931.97,321.6760818,113
932.02,321.6588249,74
932.07,321.6415698,115
932.12,321.6243166,93
932.17,321.6070652,150
932.22,321.5898157,95
932.27,321.572568,102
932.32,321.5553222,100
932.36,321.5415269,51
932.41,321.5242844,87
932.46,321.5070437,124
932.51,321.4898049,104
932.56,321.472568,107
932.61,321.4553329,75
932.66,321.4380996,157
932.71,321.4208682,114
932.76,321.4036387,124
932.8,321.3898563,105
932.85,321.3726301,122
932.9,321.3554057,108
932.95,321.3381832,157
933,321.3209625,131
933.05,321.3037436,75
933.1,321.2865266,122
933.15,321.2693115,98
933.2,321.2520982,115
933.24,321.2383288,113
933.29,321.2211188,119
933.34,321.2039107,121
933.39,321.1867044,109
933.44,321.1694999,112
933.49,321.1522973,100
933.54,321.1350965,101
933.59,321.1178976,87
933.64,321.1007005,116
933.68,321.0869441,104
933.73,321.0697504,145
933.78,321.0525584,81
933.83,321.0353683,142
933.88,321.0181801,122
933.93,321.0009937,84
933.98,320.9838091,134
934.03,320.9666263,143
934.07,320.9528815,101
934.12,320.9357021,84
934.17,320.9185245,144
934.22,320.9013487,122
934.27,320.8841748,132
934.32,320.8670027,73
934.37,320.8498325,130
934.42,320.8326641,135
934.46,320.8189307,96
934.51,320.8017656,150
934.56,320.7846024,116
934.61,320.767441,126
934.66,320.7502814,115
934.71,320.7331236,133
934.76,320.7159677,115
934.81,320.6988137,106
934.85,320.6850917,125
934.9,320.667941,114
934.95,320.650792,147
935,320.6336449,125
935.05,320.6164997,101
935.1,320.5993562,100
935.15,320.5822146,107
935.19,320.5685027,79
935.24,320.5513644,90
935.29,320.5342279,71
935.34,320.5170932,104
935.39,320.4999604,110
935.44,320.4828295,125
935.49,320.4657003,117
935.54,320.448573,125
935.58,320.4348725,169
935.63,320.4177485,151
935.68,320.4006263,135
935.73,320.3835059,110
935.78,320.3663874,119
935.83,320.3492707,80
935.88,320.3321558,119
935.92,320.3184653,121
935.97,320.3013537,107
936.02,320.2842439,116
936.07,320.267136,111
936.12,320.2500299,110
936.17,320.2329256,123
936.22,320.2158232,66
936.26,320.2021426,87
936.31,320.1850434,175
936.36,320.1679461,136
936.41,320.1508506,92
936.46,320.1337569,107
936.51,320.1166651,114
936.56,320.099575,149
936.61,320.0824868,83
936.65,320.0688176,127
936.7,320.0517327,148
936.75,320.0346496,117
936.8,320.0175683,97
936.85,320.0004889,118
936.9,319.9834112,95
936.94,319.9697505,121
936.99,319.9526761,88
937.04,319.9356036,134
937.09,319.9185329,133
937.14,319.901464,73
937.19,319.884397,98
937.24,319.8673317,132
937.28,319.8536809,96
937.33,319.8366189,95
937.38,319.8195588,96
937.43,319.8025005,118
937.48,319.785444,126
937.53,319.7683893,71
937.58,319.7513364,137
937.62,319.7376954,94
937.67,319.7206459,132
937.72,319.7035981,93
937.77,319.6865521,85
937.82,319.669508,170
937.87,319.6524657,87
937.91,319.6388332,87
937.96,319.6217941,76
938.01,319.6047569,115
938.06,319.5877215,117
938.11,319.5706879,108
938.16,319.5536561,108
938.21,319.5366261,88
938.25,319.5230035,133
938.3,319.5059768,113
938.35,319.4889519,120
938.4,319.4719288,101
